ind_variables,p,SSE,R2,adj_R2,Cp,AIC,BIC,PRESS
LSTAT + INDUS + TAX + DIS + B,5,75.62699403212176,0.6958133559078356,0.6896557315335002,45.048711188223365,-23.538670235445807,-2.338333303080688,14.751577146356267
LSTAT + INDUS + TAX + DIS + ZN,5,73.9296987106074,0.7096923178046791,0.7038156440760288,38.606481918347015,-32.263343777515956,-11.063006845150838,14.541099204481657
LSTAT + INDUS + TAX + B + ZN,5,77.26821049672745,0.6809763806364661,0.6745184126331557,51.27808836994575,-11.44297861169889,9.757358320666228,15.169025876807487
LSTAT + INDUS + NOX + AGE + PTRATIO,5,73.57178052487139,0.7209374685977379,0.7152884295005261,37.247972893345775,-41.951803664609656,-20.751466732244538,13.752867575200357
LSTAT + INDUS + NOX + AGE + RAD,5,76.56622886969694,0.6844740983095883,0.678086934307758,48.61365718507898,-14.967754459451044,6.232582472914075,15.527493509896388
LSTAT + INDUS + NOX + AGE + DIS,5,76.12962250324568,0.6956188819082831,0.689457320813309,46.95648045353818,-21.584815352902694,-0.38447842053757597,15.190544563150402
LSTAT + INDUS + NOX + AGE + B,5,76.89878190214618,0.6901174946516602,0.6838445694421795,49.87589060567143,-18.92902121272607,2.2713157196390483,15.089825254895281
LSTAT + INDUS + NOX + AGE + ZN,5,76.48891523256356,0.6885298908876247,0.6822248279501273,48.32020667603206,-16.033708509078053,5.166628423287065,15.46296561890315
LSTAT + INDUS + NOX + PTRATIO + RAD,5,74.98323720406135,0.7061412498243661,0.7001926921285031,42.60527719777713,-29.308442994430322,-8.108106062065204,14.436471766795622
LSTAT + INDUS + NOX + PTRATIO + DIS,5,72.82776740938716,0.724843999443441,0.7192740399180046,34.42400760634564,-44.71328362089912,-23.512946688534,13.599715320148231
LSTAT + INDUS + NOX + PTRATIO + B,5,75.010764056217,0.7113856093050983,0.705543212732327,42.709757714760144,-34.266192457930856,-13.065855525565738,13.923101794862076
LSTAT + INDUS + NOX + PTRATIO + ZN,5,74.4951784119957,0.7068617823606057,0.7009278103436138,40.7528083929609,-31.101407871131812,-9.901070938766694,14.218474015304484
LSTAT + INDUS + NOX + RAD + DIS,5,75.57394648042064,0.6908389416436955,0.6845806206243371,44.84736467772967,-19.271546743832857,1.9287901885322611,15.26675428558086
LSTAT + INDUS + NOX + RAD + B,5,77.83699149984781,0.6792032144279683,0.6727093523718543,53.436945217074935,-10.569948466756216,10.630388465608902,15.524499712151737
LSTAT + INDUS + NOX + RAD + ZN,5,77.60056897196849,0.6730243742014904,0.6664054344079984,52.53958333204753,-6.014381034466226,15.185955897898893,15.913509376161475
LSTAT + INDUS + NOX + DIS + B,5,76.0913345133044,0.6960531444504803,0.6899003740952268,46.81115511954482,-22.873197228406582,-1.6728602960414634,14.843002906188485
LSTAT + INDUS + NOX + DIS + ZN,5,74.69805720658425,0.7102040508439752,0.7043377360837317,41.5228521750704,-29.622704467465212,-8.422367535100094,14.970986916659786
LSTAT + INDUS + NOX + B + ZN,5,78.22755837556241,0.6797038741793986,0.6732201469360666,54.91937513170393,-10.44926467106427,10.751072261300848,15.4554994615073
LSTAT + INDUS + AGE + PTRATIO + RAD,5,73.78281978940788,0.7180342868675361,0.712326478909389,38.04899043570089,-38.895881786459256,-17.695544854094138,14.246000782488032
LSTAT + INDUS + AGE + PTRATIO + DIS,5,73.64323356856788,0.7233805995575304,0.7177810165526222,37.519179019756734,-42.09678841076544,-20.896451478400323,13.99828296168043
LSTAT + INDUS + AGE + PTRATIO + B,5,73.69213745574352,0.7234224744052318,0.7178237390693052,37.70479789785071,-44.71171944418904,-23.511382511823925,13.638327863662637
LSTAT + INDUS + AGE + PTRATIO + ZN,5,74.04715030383294,0.7178531047863077,0.7121416291746945,39.052279465821584,-38.59834445173789,-17.39800751937277,14.114932527877341
LSTAT + INDUS + AGE + RAD + DIS,5,75.57373047616225,0.69206724433309,0.6858337877406424,44.846544815129334,-20.153747964621914,1.0465889677432045,15.262778252258752
